# era	id	name	description	prerequisites
Ancient	fish_hook_barbs	Barbed Fish Hooks	Improved hook shapes with barbs, points, and tied lines for more reliable fishing in rivers, lakes, and coasts.	fishing_nets_hooks,bone_needles_tailoring,basic_rope_making
Ancient	net_sinker_weights	Net Sinker Weights	Stone, clay, or ceramic weights attached to nets to control depth and shape during fishing.	fishing_nets_hooks,pottery,portable_scales
Ancient	wooden_dugout_canoe_refinement	Refined Dugout Canoes	Improved hollowed-log boats with shaped hulls, seats, paddles, repairs, and waterproofing for regular transport.	early_boats,fire_control,advanced_stone_tools
Ancient	animal_pack_saddles	Pack Saddles	Simple frames, pads, and straps that stabilized loads on donkeys, horses, camels, and other pack animals.	pack_animal_transport,leather_tanning,basic_rope_making
Ancient	granary_pest_control	Granary Pest Control	Sealed bins, ash, cats, traps, raised floors, and inspection routines for protecting stored grain.	granaries,public_granary_accounting,animal_husbandry
Ancient	clay_pipe_drainage	Clay Pipe Drainage	Fired clay pipes and channels for moving stormwater, wastewater, and seepage away from buildings and streets.	fired_bricks_early_kilns,sewers_and_drainage,pottery_wheel
Ancient	metallurgical_slag_reuse	Metallurgical Slag Reuse	Reuse of smelting slag and furnace waste in road fill, construction, pigments, and process learning.	copper_working,iron_working,early_alchemy_material_science
Ancient	sail_rigging_knots	Sail Rigging Knots	Standardized knots, lashings, lines, and repairs for safer sail handling and boat control.	sailing,basic_rope_making,textiles_weaving
Ancient	stone_paved_courtyards	Stone-Paved Courtyards	Paved work and civic surfaces for markets, threshing, drainage, ritual, and public gathering.	masonry,town_market_squares,measuring_rods_and_lines
Ancient	terraced_hillside_farming	Terraced Hillside Farming	Retaining walls and stepped fields that controlled erosion and water on slopes.	irrigation_sluice_gates,masonry,heavy_draft_plowing
Classical	arch_bridge_construction	Arch Bridge Construction	Stone and concrete arches used to span rivers, roads, canals, and urban infrastructure.	arches_domes,roads,concrete
Classical	public_bath_heating	Public Bath Heating	Furnaces, hypocausts, pipes, drains, and operating staff for heated civic bathing complexes.	aqueducts,public_health_systems,water_distribution_pipes
Classical	shipyard_drydocks	Shipyard Drydocks	Basins, ramps, cranes, workshops, and maintenance procedures for repairing ships out of water.	advanced_shipbuilding_bireme_trireme,harbor_engineering_breakwaters,merchant_partnership_contracts
Classical	standard_legal_forms	Standard Legal Forms	Reusable templates for wills, sales, leases, loans, citizenship claims, and court petitions.	contract_law,civic_contract_registries,public_archives
Classical	glass_lamp_chimneys	Early Glass Lamp Covers	Glass covers and vessels that protected flames, improved light, and supported indoor or workshop illumination.	glass_blowing_workshops,wicked_oil_lamps,glass_window_panes
Classical	medical_triage_practices	Medical Triage Practices	Practical sorting of wounded or sick people by urgency, survivability, and available medical supplies.	military_field_medicine,state_medical_supply_stores,surgical_instrument_sets
Classical	cadastral_tax_maps	Cadastral Tax Maps	Measured land records linking plots, owners, crops, roads, irrigation, and tax obligations.	surveyed_road_maps,tax_accounting,geometry
Classical	port_customs_ledgers	Port Customs Ledgers	Recorded manifests, taxes, fees, inspections, cargo origins, and merchant obligations at harbors.	border_customs_posts,maritime_law_codes,public_archives
Classical	public_library_reading_rooms	Public Library Reading Rooms	Designated civic spaces for consulting texts, teaching, copying, and scholarly exchange.	library_catalogs,libraries_and_archives,public_archives
Classical	amphora_shipping_standards	Amphora Shipping Standards	Standard vessel shapes, stamps, capacities, seals, and stacking methods for wine, oil, grain, and preserved foods.	pottery_wheel,maritime_law_codes,port_customs_ledgers
Medieval	eyeglass_prescription_practices	Eyeglass Prescription Practices	Matching lenses to readers and scribes through trial lenses, craft experience, and optical workshops.	spectacles_eyeglasses,lens_grinding_workshops,universities
Medieval	guild_apprentice_contracts	Guild Apprentice Contracts	Written agreements defining training years, fees, conduct, tools, lodging, rights, and obligations.	apprenticeship_systems,notarial_records,guild_certification_seals
Medieval	merchant_risk_pooling	Merchant Risk Pooling	Shared ventures and pooled losses for caravans, ships, cargo, loans, and politically risky trade.	charterparty_shipping_contracts,bills_of_exchange_clearing,merchant_courts
Medieval	town_wall_maintenance_taxes	Town Wall Maintenance Taxes	Local taxes, labor duties, inspections, and material stores dedicated to fortification upkeep.	fortified_town_planning,municipal_debt_bonds,castle_garrison_logistics
Medieval	waterwheel_grain_milling_networks	Waterwheel Grain Milling Networks	Regional networks of mills, mill rights, tolls, repairs, and transport serving town and village grain supply.	watermills,market_price_bulletins,crop_landrace_selection
Medieval	scholastic_indexing_systems	Scholastic Indexing Systems	Alphabetical and thematic indexes, concordances, page systems, and reference tools for large texts.	universities_research_curricula,monastic_scriptoria,watermark_paper_authentication
Medieval	apothecary_shops	Apothecary Shops	Specialized retail and professional shops for preparing, selling, and advising on medicines and ingredients.	hospital_pharmacies,guilds,market_price_bulletins
Medieval	bridge_chapels_tolls	Bridge Chapels & Tolls	Religious and civic institutions that financed bridge building and upkeep through tolls, gifts, and legal privileges.	municipal_debt_bonds,pilgrimage_route_services,roads
Medieval	mechanical_bell_striking	Mechanical Bell Striking	Clock-linked striking mechanisms that broadcast time signals to towns, monasteries, markets, and workshops.	mechanical_clock_towers,town_clock_curfew_bells,clockwork_mechanisms
Medieval	fortress_water_cisterns	Fortress Water Cisterns	Protected wells, tanks, drains, and roof-water capture systems for castles and walled towns under siege.	concentric_castles,wells_and_cisterns,castle_garrison_logistics
Renaissance	anatomical_specimen_collections	Anatomical Specimen Collections	Preserved organs, bones, casts, wax models, and comparative specimens for medical teaching and research.	comparative_anatomy_collections,public_anatomy_theaters,printed_standardized_textbooks
Renaissance	printed_music_publishing	Printed Music Publishing	Movable-type and engraved music printing for songs, madrigals, liturgy, instruments, and commercial distribution.	madrigals_polyphonic_music,printing_press,early_copyright_printing_privileges
Renaissance	technical_patent_examination	Technical Patent Examination	Review of invention claims, utility, novelty, diagrams, and privileges by officials or expert advisers.	printed_patent_specifications,early_patent_systems,technical_drawing_standards
Renaissance	longitude_prize_systems	Longitude Prize Systems	Public rewards and evaluation processes for practical navigation, timekeeping, astronomy, and instrument solutions.	marine_chronometer_prototypes,naval_logbooks,joint_stock_companies
Renaissance	chemical_assay_laboratories	Chemical Assay Laboratories	Workshops for testing ores, coins, medicines, pigments, salts, and industrial materials with repeatable procedures.	iatrochemistry_paracelsus,instrument_calibration_standards,coin_mint_assay_offices
Renaissance	public_newspaper_advertising	Public Newspaper Advertising	Paid notices for books, auctions, medicines, ships, jobs, performances, lost goods, and commercial services.	newspaper_periodicals,commercial_auction_houses,theater_ticketing_systems
Renaissance	estate_survey_maps	Estate Survey Maps	Measured property maps for inheritance, taxation, drainage, rents, crops, roads, and legal disputes.	surveying_cadastral_states,printed_map_atlases,cadastral_tax_maps
Renaissance	scientific_correspondence_networks	Scientific Correspondence Networks	Letters, diagrams, specimens, data tables, and priority claims exchanged among scholars and societies.	scientific_societies,printed_scientific_errata,public_science_lectures
Renaissance	actuarial_annuity_tables	Actuarial Annuity Tables	Mathematical tables for valuing pensions, life annuities, insurance contracts, and public debt.	insurance_actuarial_pricing,probability_statistics_inference,printed_financial_price_lists
Renaissance	arsenal_standardized_ship_parts	Arsenal Standardized Ship Parts	State or commercial arsenals producing repeatable hull, mast, rigging, artillery, and repair components.	naval_convoy_systems,technical_drawing_standards,galleon_ship_design
Industrial	telegraph_news_tickers	Telegraph News Tickers	Electromechanical displays and feeds distributing news, market prices, weather, and alerts to offices and newspapers.	telegraph,stock_ticker_systems,transoceanic_news_agencies
Industrial	railway_refrigerator_cars	Railway Refrigerator Cars	Insulated and cooled railcars that moved meat, fruit, dairy, and medicines across long-distance supply chains.	railroads,industrial_refrigeration,food_cold_chain
Industrial	electric_street_lighting	Electric Street Lighting	Grid-powered lamps, poles, wiring, switches, maintenance crews, and municipal contracts for nighttime public lighting.	electrical_lighting_systems,central_station_power,urban_mass_transit_networks
Industrial	sanitary_building_codes	Sanitary Building Codes	Regulations for ventilation, plumbing, light, waste, occupancy, disease prevention, and urban housing safety.	public_sanitation_modern,industrial_safety_regulation,municipal_building_codes
Industrial	typewritten_office_workflows	Typewritten Office Workflows	Standard business correspondence, carbon copies, filing, forms, clerical labor, and office management built around typewriters.	typewriter,industrial_parts_catalogs,consumer_installment_credit
Industrial	electrocardiography_early	Early Electrocardiography	Measurement and recording of heart electrical signals using sensitive instruments and clinical interpretation.	electricity,laboratory_diagnostic_medicine,radiology_departments
Industrial	steam_fire_engines	Steam Fire Engines	Steam-powered pumps, hoses, crews, alarms, and municipal systems for fighting urban fires.	steam_engine,urban_firefighting_ordinances,industrial_urbanization
Industrial	railway_dining_cars	Railway Dining Cars	Mobile kitchens, service workflows, supply logistics, refrigeration, and hospitality aboard long-distance passenger trains.	railroads,food_cold_chain,mail_order_catalog_retail
Industrial	industrial_design_profession	Industrial Design Profession	Professional design of manufactured goods for ergonomics, style, usability, branding, tooling, and mass production.	factory_system,industrial_parts_catalogs,public_art_museums
Industrial	electric_arc_welding	Electric Arc Welding	Joining metals using electric arcs, electrodes, power supplies, fixtures, and metallurgy for construction and manufacturing.	electricity,steel_production,precision_machine_tools
Modern	magnetic_resonance_imaging	Magnetic Resonance Imaging	Medical imaging based on nuclear magnetic resonance, magnets, radio signals, computers, and clinical reconstruction.	nuclear_magnetic_resonance,computers_early,digital_signal_processing
Modern	in_vitro_fertilization	In Vitro Fertilization	Assisted reproduction using hormone control, egg retrieval, laboratory fertilization, embryo culture, and transfer.	cell_culture,medicine_clinical,human_anatomy_physiology
Modern	pacemakers_implantable	Implantable Pacemakers	Electronic devices that monitor and regulate heart rhythm through implanted leads, batteries, and clinical programming.	electronics,portable_electrochemical_batteries,medicine_clinical
Modern	endoscopy_video_systems	Video Endoscopy Systems	Fiber-optic and digital instruments for viewing, recording, and treating internal organs with minimally invasive procedures.	fiber_optics,digital_photography_ccd_cmos_sensors
Modern	satellite_weather_forecasting	Satellite Weather Forecasting	Operational forecasting using satellite data, radar, numerical models, communications, and warning systems.	weather_satellites,satellite_remote_sensing,earth_system_models
Modern	enterprise_cyber_identity	Enterprise Cyber Identity	Directory services, single sign-on, access control, audit logs, and identity governance for organizations.	public_key_infrastructure,digital_identity_systems,cybersecurity_operations_centers
Modern	digital_music_distribution	Digital Music Distribution	Online platforms for encoding, distributing, monetizing, recommending, and licensing recorded music.	recorded_music_industry,content_delivery_networks,digital_payment_gateways
Modern	smartphone_app_stores	Smartphone App Stores	Curated marketplaces for mobile software distribution, payments, review, updates, identity, and developer tooling.	smartphones,digital_payment_gateways,compiler_toolchains
Modern	cloud_data_warehouses	Cloud Data Warehouses	Elastic analytical databases for integrating, storing, querying, and governing large organizational datasets.	cloud_computing_distributed_systems,databases_relational_dbms,enterprise_resource_planning
Modern	drone_aerial_mapping	Drone Aerial Mapping	Small uncrewed aircraft workflows for surveying, photogrammetry, inspection, agriculture, disaster response, and maps.	gps_guided_logistics,digital_photography_ccd_cmos_sensors,autonomous_vehicle_stack
Future	fusion_industrial_heat	Fusion Industrial Heat	Fusion-powered high-temperature heat for steel, cement, chemicals, desalination, recycling, and synthetic fuels.	fusion_power,industrial_gas_production,circular_materials_economy
Future	lunar_oxygen_extraction	Lunar Oxygen Extraction	Processing lunar regolith or ice into oxygen for life support, propellant, metals, and industrial systems.	lunar_resource_utilization,orbital_propellant_depots,closed_loop_life_support
Future	mars_regolith_construction	Mars Regolith Construction	Additive and robotic construction using Martian soil, binders, sintering, shielding, and local resource processing.	mars_surface_habitats,robotic_construction_swarms,biodesigned_construction_materials
Future	autonomous_orbital_shipyards	Autonomous Orbital Shipyards	Robotic facilities that assemble, repair, refuel, inspect, and upgrade spacecraft and habitats in orbit.	orbital_manufacturing,self_replicating_space_industry,interplanetary_supply_chains
Future	quantum_sensor_navigation	Quantum Sensor Navigation	Navigation systems using quantum clocks, inertial sensors, gravimetry, and secure timing without relying solely on satellites.	quantum_sensors_high_precision_measurement,post_quantum_security_migration,satellite_navigation_receivers
Future	ai_personal_health_twins	AI Personal Health Twins	Digital models of individual physiology, genetics, exposures, behavior, and treatment response for preventive care.	ai_clinical_care_networks,computational_genomics_platforms,remote_patient_monitoring
Future	synthetic_meat_distribution	Synthetic Meat Distribution	Supply chains, safety systems, retail formats, cold chains, and labeling for cultured and precision-fermented foods.	cellular_agriculture_bioreactors,rfid_cold_chain_monitoring,programmable_money_markets
Future	orbital_debris_recycling	Orbital Debris Recycling	Capture, sorting, processing, and reuse of dead satellites, rocket bodies, fragments, and orbital scrap as raw material.	orbital_manufacturing,planetary_defense_networks,circular_materials_economy
Future	planetary_archive_vaults	Planetary Archive Vaults	Long-term distributed archives for knowledge, genomes, languages, art, legal records, software, and scientific data.	ai_cultural_memory_archives,post_quantum_security_migration,lunar_resource_utilization
Future	autonomous_biosecurity_sentinels	Autonomous Biosecurity Sentinels	Distributed sensors, sequencing, AI analysis, reporting, and response systems for emerging biological threats.	ai_clinical_care_networks,planetary_scale_sensor_webs,molecular_diagnostics
