# era	id	name	description	prerequisites
Ancient	shell_bead_drilling	Shell Bead Drilling	Small drilling, abrasion, and polishing techniques for shell beads used in ornament, trade, identity, and ritual.	advanced_stone_tools,basic_rope_making,trade_routes
Ancient	hide_glue_production	Hide Glue Production	Rendering animal collagen into adhesive for tools, containers, ornaments, instruments, and repairs.	animal_husbandry,fire_control,mortar_and_pestle
Ancient	charcoal_pit_kilns	Charcoal Pit Kilns	Controlled earthen kilns and covered pits for producing charcoal at higher volume and consistency.	charcoal_production,fire_control,woodworking_basic
Ancient	wooden_sledges	Wooden Sledges	Low-friction hauling platforms for moving stones, timber, harvests, boats, and heavy goods over land.	woodworking_basic,basic_rope_making,labor_specialization
Ancient	fishing_spear_gigs	Fishing Spears & Gigs	Barbed spears, multi-pronged gigs, and night-fishing tools for shallow water and river harvests.	fishing_nets_hooks,archery,fire_control
Ancient	loom_weights	Loom Weights	Clay or stone weights used to tension warp threads in vertical looms and improve textile production.	loom,pottery,drop_spindles
Ancient	simple_windbreak_shelters	Windbreak Shelters	Portable and semi-permanent windbreaks made from hides, brush, reeds, mats, and stakes for camps and fields.	basic_shelter,leather_tanning,reed_mat_architecture
Ancient	pottery_storage_amphorae	Storage Amphorae	Early standardized ceramic jars for storing and transporting oil, wine, grain, water, fermented foods, and trade goods.	pottery_wheel,food_preservation_drying_salting,town_market_squares
Ancient	copper_rivets_fasteners	Copper Rivets & Fasteners	Metal pins, rivets, nails, and clamps that strengthened tools, boats, carts, doors, and containers.	copper_working,woodworking_basic,bronze_casting_molds
Ancient	field_boundary_survey_stones	Field Boundary Survey Stones	Durable markers and measurement practices for fields, canals, taxes, inheritance, disputes, and irrigation rights.	boundary_markers_land_tenure,measuring_rods_and_lines,scribe_schools
Classical	aqueduct_maintenance_crews	Aqueduct Maintenance Crews	Surveyors, masons, inspectors, cleaners, and administrators who kept aqueducts, reservoirs, and pipes operating.	aqueducts,water_distribution_pipes,public_health_inspections
Classical	legal_deposit_archives	Legal Deposit Archives	Required submission and storage of official decrees, contracts, maps, accounts, and public texts in civic repositories.	public_archives,civic_contract_registries,library_catalogs
Classical	medical_case_notes	Medical Case Notes	Written observations of symptoms, treatments, diet, wounds, outcomes, and recurring disease patterns.	surgical_instrument_sets,public_library_reading_rooms,public_health_inspections
Classical	coin_die_engraving	Coin Die Engraving	Precision engraving of coin dies, official symbols, portraits, inscriptions, and anti-counterfeit marks.	coin_mint_assay_offices,bronze_casting_molds,portable_scales
Classical	theater_ticket_sales	Theater Ticket Sales	Tokens, seating assignments, festival access, patrons, and public administration for large performance venues.	public_theater_infrastructure,currency,public_notice_boards
Classical	glass_mosaic_tesserae	Glass Mosaic Tesserae	Colored glass cubes and workshops for wall, floor, and religious or civic imagery.	glassmaking,mosaic_art,glass_blowing_workshops
Classical	bridge_arch_inspection	Bridge Arch Inspection	Regular review of arches, piers, foundations, floods, roads, tolls, and repairs for critical crossings.	arch_bridge_construction,road_maintenance_crews,toll_roads_and_bridges
Classical	urban_food_market_regulation	Urban Food Market Regulation	Weights, inspections, location rules, freshness checks, stall fees, and price controls for food markets.	public_health_inspections,town_market_squares,portable_scales
Classical	military_depot_records	Military Depot Records	Written inventories of weapons, food, animals, tools, medical goods, transport, and replacement parts for armies.	state_armories,state_medical_supply_stores,military_waystations
Classical	civic_water_meters	Early Civic Water Meters	Regulated outlets, calibrated pipes, permits, and fees for distributing public water to baths, fountains, homes, and workshops.	water_distribution_pipes,portable_scales,public_archives
Medieval	bookbinding_workshops	Bookbinding Workshops	Craft shops for sewing, covering, clasping, repairing, and decorating manuscripts and printed books.	monastic_scriptoria,paper_making,guilds
Medieval	university_libraries	University Libraries	Institutional collections, chained books, catalogs, loan rules, copying, and reference spaces for scholars.	universities,scholastic_indexing_systems,bookbinding_workshops
Medieval	municipal_fire_watch	Municipal Fire Watch	Night watches, bells, patrols, water access, hooks, ladders, and fines for reducing urban fire damage.	urban_firefighting_ordinances,town_clock_curfew_bells,municipal_charters
Medieval	putting_out_textile_system	Putting-Out Textile System	Distributed household spinning, weaving, finishing, merchant coordination, quality checks, and payment records.	textile_dye_guilds,market_price_bulletins,merchant_courier_networks
Medieval	sawmill_lumber_networks	Sawmill Lumber Networks	Water-powered sawmills, timber rights, log transport, standardized boards, and building supply chains.	saw_mill,watermills,craft_quality_marks
Medieval	plague_pesthouses	Plague Pesthouses	Isolated care sites, records, supplies, attendants, and civic rules for severe epidemic outbreaks.	quarantine_public_health_measures,hospital_patient_wards,public_health_inspections
Medieval	castle_signal_beacons	Castle Signal Beacons	Beacon chains and watch systems for warning castles, ports, towns, and armies of attack or fire.	castle_garrison_logistics,defensive_watchtowers,military_signal_flags
Medieval	merchant_arbitration_boards	Merchant Arbitration Boards	Commercial dispute bodies for contracts, quality, debt, insurance, shipping, and fair rules.	merchant_courts,bills_of_exchange_clearing,guild_certification_seals
Medieval	water_powered_oil_presses	Water-Powered Oil Presses	Mills and presses using water power to extract oil from olives, seeds, nuts, and industrial crops.	watermills,crop_landrace_selection,craft_quality_marks
Medieval	port_crane_harbor_works	Port Cranes & Harbor Works	Cranes, quays, warehouses, pilots, customs, and repair shops for maritime trade.	charterparty_shipping_contracts,maritime_pilot_books,guilds
Renaissance	patent_model_collections	Patent Model Collections	Physical invention models, drawings, and descriptions archived for review, teaching, disputes, and public demonstration.	printed_patent_specifications,technical_patent_examination,public_museum_catalogs
Renaissance	experimental_botany_gardens	Experimental Botany Gardens	Gardens designed for trials of crops, medicines, acclimatization, taxonomy, and seed exchange.	botanical_gardens_herbaria,experimental_controls,orchard_grafting
Renaissance	precision_map_engraving	Precision Map Engraving	Engraved plates, scale bars, symbols, lettering, and revisions for reproducible printed maps and atlases.	printed_map_atlases,technical_drawing_standards,instrument_calibration_standards
Renaissance	merchant_marine_registry	Merchant Marine Registry	Official ship lists, owners, tonnage, crews, flags, insurance, voyages, and port documentation.	naval_logbooks,insurance_claims_adjustment,port_customs_ledgers
Renaissance	early_scientific_conferences	Early Scientific Conferences	Structured meetings, demonstrations, correspondence reading, debates, and proceedings among scholars and patrons.	scientific_societies,public_science_lectures,scientific_peer_review_practices
