Ancient	ancient_infrastructure_field_ready_field_wall_roofing_0226	Field Ready Field Wall Roofing	Early communities developed field ready field wall roofing as a infrastructure practice for built environments, water systems, and civic services.	basic_shelter,irrigation_canals_local
Classical	classical_infrastructure_low_cost_road_curb_lining_0226	Low Cost Road Curb Lining	Complex states and cities developed low cost road curb lining as a infrastructure practice for built environments, water systems, and civic services.	aqueducts,concrete
Medieval	medieval_infrastructure_high_capacity_public_fountain_timbering_0226	High Capacity Public Fountain Timbering	Guilds, courts, monasteries, and towns developed high capacity public fountain timbering as a infrastructure practice for built environments, water systems, and civic services.	gothic_architecture,municipal_fire_watch
Renaissance	renaissance_infrastructure_distributed_street_plan_inspecting_0226	Distributed Street Plan Inspecting	Workshops, merchants, navies, and scholars developed distributed street plan inspecting as a infrastructure practice for built environments, water systems, and civic services.	military_engineer_corps,precision_map_engraving
Industrial	industrial_infrastructure_compact_district_ventilation_0226	Compact District Ventilation	Factories, utilities, laboratories, and cities developed compact district ventilation as a infrastructure practice for built environments, water systems, and civic services.	urban_water_chlorination,urban_electric_subways
Modern	modern_infrastructure_regulated_district_paving_0226	Regulated District Paving	Networked institutions and automated systems developed regulated district paving as a infrastructure practice for built environments, water systems, and civic services.	digital_twin_infrastructure,internet_of_things_iot_ubiquitous_connectivity
Future	future_infrastructure_regulated_district_paving_0226	Regulated District Paving	Advanced automated societies could develop regulated district paving as a infrastructure practice for built environments, water systems, and civic services.	robotic_construction_swarms,self_healing_civil_infrastructure
Ancient	ancient_security_continuous_gate_drilling_0226	Continuous Gate Drilling	Early communities developed continuous gate drilling as a security practice for protection, detection, defense, and emergency response.	organized_warfare,atlatl_spear_throwers
Classical	classical_security_redundant_military_depot_mustering_0226	Redundant Military Depot Mustering	Complex states and cities developed redundant military depot mustering as a security practice for protection, detection, defense, and emergency response.	organized_military_formations,military_field_medicine
Medieval	medieval_security_large_scale_town_wall_mustering_0226	Large Scale Town Wall Mustering	Guilds, courts, monasteries, and towns developed large scale town wall mustering as a security practice for protection, detection, defense, and emergency response.	cannons,castle_signal_beacons
Renaissance	renaissance_security_modular_naval_gun_signaling_0226	Modular Naval Gun Signaling	Workshops, merchants, navies, and scholars developed modular naval gun signaling as a security practice for protection, detection, defense, and emergency response.	naval_gunnery_tables,cannons
Industrial	industrial_security_remote_rangefinder_ranging_0226	Remote Rangefinder Ranging	Factories, utilities, laboratories, and cities developed remote rangefinder ranging as a security practice for protection, detection, defense, and emergency response.	electric_arc_lighting,railway_signal_interlocking
Modern	modern_security_open_radar_fortification_0226	Open Radar Fortification	Networked institutions and automated systems developed open radar fortification as a security practice for protection, detection, defense, and emergency response.	cyber_threat_intelligence,cybersecurity_operations_centers
Future	future_security_open_radar_fortification_0226	Open Radar Fortification	Advanced automated societies could develop open radar fortification as a security practice for protection, detection, defense, and emergency response.	quantum_encryption,ai_model_auditing
Modern	modern_space_high_reliability_lunar_lander_launching_0226	High Reliability Lunar Lander Launching	Networked institutions and automated systems developed high reliability lunar lander launching as a space practice for orbital operations, planetary infrastructure, and exploration.	satellite_technology,space_stations
Future	future_space_high_reliability_lunar_base_launching_0226	High Reliability Lunar Base Launching	Advanced automated societies could develop high reliability lunar base launching as a space practice for orbital operations, planetary infrastructure, and exploration.	space_colonization,space_resource_refineries
Ancient	ancient_culture_rapid_figurine_singing_0226	Rapid Figurine Singing	Early communities developed rapid figurine singing as a cultural practice for artistic production, ritual, education, and preservation.	shamanism_animism,ochre_pigment_processing
Classical	classical_culture_large_scale_costume_teaching_0226	Large Scale Costume Teaching	Complex states and cities developed large scale costume teaching as a cultural practice for artistic production, ritual, education, and preservation.	theater_stage_machinery,glass_mosaic_tesserae
Medieval	medieval_culture_compact_costume_preservation_0226	Compact Costume Preservation	Guilds, courts, monasteries, and towns developed compact costume preservation as a cultural practice for artistic production, ritual, education, and preservation.	monastic_scriptoria,mechanical_bell_striking
Renaissance	renaissance_culture_portable_costume_curation_0226	Portable Costume Curation	Workshops, merchants, navies, and scholars developed portable costume curation as a cultural practice for artistic production, ritual, education, and preservation.	printed_music_notation,public_art_academies
Industrial	industrial_culture_seasonal_costume_performance_0226	Seasonal Costume Performance	Factories, utilities, laboratories, and cities developed seasonal costume performance as a cultural practice for artistic production, ritual, education, and preservation.	photographic_halftone_printing,newspaper_periodicals
Modern	modern_culture_sealed_costume_notation_0226	Sealed Costume Notation	Networked institutions and automated systems developed sealed costume notation as a cultural practice for artistic production, ritual, education, and preservation.	streaming_music_platforms,social_media_content_moderation
Future	future_culture_sealed_costume_notation_0226	Sealed Costume Notation	Advanced automated societies could develop sealed costume notation as a cultural practice for artistic production, ritual, education, and preservation.	ai_cultural_memory_archives,ai_personal_tutoring_companions
Ancient	ancient_agriculture_low_waste_seed_breeding_0227	Low Waste Seed Breeding	Early communities developed low waste seed breeding as a agricultural practice for food production, storage, and distribution.	agriculture,pottery_storage_amphorae
Classical	classical_agriculture_specialized_seed_preservation_0227	Specialized Seed Preservation	Complex states and cities developed specialized seed preservation as a agricultural practice for food production, storage, and distribution.	state_grain_price_controls,tax_accounting
Medieval	medieval_agriculture_standardized_seed_milling_0227	Standardized Seed Milling	Guilds, courts, monasteries, and towns developed standardized seed milling as a agricultural practice for food production, storage, and distribution.	crop_rotation_three_field,watermills
Renaissance	renaissance_agriculture_low_cost_seed_testing_0227	Low Cost Seed Testing	Workshops, merchants, navies, and scholars developed low cost seed testing as a agricultural practice for food production, storage, and distribution.	experimental_botany_gardens,chemical_recipe_books
Industrial	industrial_agriculture_high_throughput_grain_elevator_testing_0227	High Throughput Grain Elevator Testing	Factories, utilities, laboratories, and cities developed high throughput grain elevator testing as a agricultural practice for food production, storage, and distribution.	chemical_fertilizers,industrial_canning_lines
Modern	modern_agriculture_remote_seed_watering_0227	Remote Seed Watering	Networked institutions and automated systems developed remote seed watering as a agricultural practice for food production, storage, and distribution.	gps_guided_logistics,satellite_remote_sensing
Future	future_agriculture_remote_seed_watering_0227	Remote Seed Watering	Advanced automated societies could develop remote seed watering as a agricultural practice for food production, storage, and distribution.	vertical_farming_megafarms,synthetic_food_bioreactors
Ancient	ancient_materials_cooperative_awl_binding_0227	Cooperative Awl Binding	Early communities developed cooperative awl binding as a manufacturing practice for fabrication, repair, and material quality.	bronze_working,woodworking_basic
Classical	classical_materials_modular_roof_tile_cutting_0227	Modular Roof Tile Cutting	Complex states and cities developed modular roof tile cutting as a manufacturing practice for fabrication, repair, and material quality.	glassmaking,concrete
Medieval	medieval_materials_portable_barrel_hoop_grinding_0227	Portable Barrel Hoop Grinding	Guilds, courts, monasteries, and towns developed portable barrel hoop grinding as a manufacturing practice for fabrication, repair, and material quality.	advanced_metallurgy_medieval,fulling_mills
Renaissance	renaissance_materials_specialized_map_plate_lacquering_0227	Specialized Map Plate Lacquering	Workshops, merchants, navies, and scholars developed specialized map plate lacquering as a manufacturing practice for fabrication, repair, and material quality.	chemical_assay_laboratories,standardized_typefounding
Industrial	industrial_materials_regulated_composite_molding_0227	Regulated Composite Molding	Factories, utilities, laboratories, and cities developed regulated composite molding as a manufacturing practice for fabrication, repair, and material quality.	precision_machine_tools,bessemer_steel_conversion
Modern	modern_materials_continuous_composite_polishing_0227	Continuous Composite Polishing	Networked institutions and automated systems developed continuous composite polishing as a manufacturing practice for fabrication, repair, and material quality.	computer_aided_manufacturing_cam_systems,3d_printing_additive_manufacturing
Future	future_materials_continuous_composite_polishing_0227	Continuous Composite Polishing	Advanced automated societies could develop continuous composite polishing as a manufacturing practice for fabrication, repair, and material quality.	nanotechnology,quantum_materials_foundries
Ancient	ancient_energy_rapid_torch_firing_0227	Rapid Torch Firing	Early communities developed rapid torch firing as a energy practice for heat, power, fuel use, and distribution.	charcoal_production,fire_control
Classical	classical_energy_large_scale_lamp_oil_pressing_0227	Large Scale Lamp Oil Pressing	Complex states and cities developed large scale lamp oil pressing as a energy practice for heat, power, fuel use, and distribution.	water_clock_timekeeping,public_bath_heating
